2018-05-14-10:44:57,3:28:6B 1A:0:4B 284.2094
2018-05-14-10:44:58,3:28:6D 1A:0:4D 284.2122
2018-05-14-10:45:00,3:28:6F 1A:0:4F 284.2149
2018-05-14-10:45:01,3:28:72 1A:0:52 284.2191
2018-05-14-10:45:03,3:28:75 1A:0:55 284.2232
2018-05-14-10:45:04,3:28:77 1A:0:57 284.2259
2018-05-14-10:45:06,3:28:7B 1A:0:5B 284.2314
2018-05-14-10:45:07,3:28:7E 1A:0:5E 284.2355
2018-05-14-10:45:09,3:28:81 1A:0:A1 284.2397
2018-05-14-10:45:10,3:28:84 1A:0:A4 284.2438
2018-05-14-10:45:12,3:28:87 1A:0:A7 284.2479
2018-05-14-10:45:13,3:28:8A 1A:0:AA 284.2520
2018-05-14-10:45:15,3:28:8D 1A:0:AD 284.2561
2018-05-14-10:45:16,3:28:8F 1A:0:AF 284.2589
2018-05-14-10:45:18,3:28:91 1A:0:B1 284.2616
2018-05-14-10:45:19,3:28:93 1A:0:B3 284.2644
2018-05-14-10:45:21,3:28:95 1A:0:B5 284.2671
2018-05-14-10:45:22,3:28:96 1A:0:B6 284.2685
2018-05-14-10:45:24,3:28:97 1A:0:B7 284.2699
2018-05-14-10:45:25,3:28:98 1A:0:B8 284.2712
2018-05-14-10:45:27,3:28:99 1A:0:B9 284.2726
2018-05-14-10:45:28,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:45:30,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:45:31,3:28:9A 1A:0:BA 284.2740
2018-05-14-10:45:33,3:28:9B 1A:0:BB 284.2754
2018-05-14-10:45:34,3:28:9B 1A:0:BB 284.2754
2018-05-14-10:45:36,3:28:9C 1A:0:BC 284.2767
2018-05-14-10:45:37,3:28:9C 1A:0:BC 284.2767
2018-05-14-10:45:39,3:28:9C 1A:0:BC 284.2767
2018-05-14-10:45:40,3:28:9C 1A:0:BC 284.2767
2018-05-14-10:45:42,3:28:9C 1A:0:BC 284.2767
2018-05-14-10:45:43,3:28:9C 1A:0:BC 284.2767
